Timestamp,Command,Command Bytes,Response,Response Bytes
2025-12-17T17:14:47.234732,CMD_MEASURE,AA 48,Z = 1018.18396 Ω,80 03 01 05 00 00 00 00 00 02 BF 20 44 7E 8B C6 BC 95 C8 09 00 00
2025-12-17T17:14:47.437176,CMD_SET_FREQ,AA 43 00 02 E6 30,OK,AA 43
2025-12-17T17:14:47.638598,CMD_MEASURE,AA 48,Z = 1021.480042 Ω,80 03 01 05 00 00 00 00 00 02 E6 30 44 7F 5E B9 3B 22 24 D7 00 00
2025-12-17T17:14:47.862526,CMD_SET_FREQ,AA 43 00 03 0D 40,OK,AA 43
2025-12-17T17:14:48.065953,CMD_MEASURE,AA 48,Z = 957.120789 Ω,80 03 01 05 00 00 00 00 00 03 0D 40 44 6F 47 BB BB 53 63 A7 00 00
2025-12-17T17:14:48.268194,CMD_SET_FREQ,AA 43 00 03 34 50,OK,AA 43
2025-12-17T17:14:48.472932,CMD_MEASURE,AA 48,Z = 1048.572266 Ω,80 03 01 05 00 00 00 00 00 03 34 50 44 83 12 50 BC CC 2A C6 00 00
2025-12-17T17:14:48.677992,CMD_SET_FREQ,AA 43 00 03 5B 60,OK,AA 43
2025-12-17T17:14:48.885656,CMD_MEASURE,AA 48,Z = 1016.276733 Ω,80 03 01 05 00 00 00 00 00 03 5B 60 44 7E 11 B6 BC BD 56 AA 00 00
2025-12-17T17:14:49.087690,CMD_SET_FREQ,AA 43 00 03 82 70,OK,AA 43
2025-12-17T17:14:49.290603,CMD_MEASURE,AA 48,Z = 1036.135864 Ω,80 03 01 05 00 00 00 00 00 03 82 70 44 81 84 59 3B A8 A6 C0 00 00
2025-12-17T17:14:49.500608,CMD_SET_FREQ,AA 43 00 03 A9 80,OK,AA 43
2025-12-17T17:14:49.703405,CMD_MEASURE,AA 48,Z = 990.224854 Ω,80 03 01 05 00 00 00 00 00 03 A9 80 44 77 8E 64 BC 84 35 1D 00 00
2025-12-17T17:14:49.904676,CMD_SET_FREQ,AA 43 00 03 D0 90,OK,AA 43
2025-12-17T17:14:50.107256,CMD_MEASURE,AA 48,Z = 1008.420715 Ω,80 03 01 05 00 00 00 00 00 03 D0 90 44 7C 1A ED 3C 34 E6 5F 00 00
2025-12-17T17:14:50.317532,CMD_SET_FREQ,AA 43 00 03 F7 A0,OK,AA 43
2025-12-17T17:14:50.520099,CMD_MEASURE,AA 48,Z = 1001.991394 Ω,80 03 01 05 00 00 00 00 00 03 F7 A0 44 7A 7F 73 3C 91 E0 FF 00 00
2025-12-17T17:14:50.722842,CMD_SET_FREQ,AA 43 00 04 1E B0,OK,AA 43
2025-12-17T17:14:50.927705,CMD_MEASURE,AA 48,Z = 1036.311401 Ω,80 03 01 05 00 00 00 00 00 04 1E B0 44 81 89 F7 BC F4 20 B4 00 00
2025-12-17T17:14:51.130304,CMD_SET_FREQ,AA 43 00 04 45 C0,OK,AA 43
2025-12-17T17:14:51.334731,CMD_MEASURE,AA 48,Z = 1009.791138 Ω,80 03 01 05 00 00 00 00 00 04 45 C0 44 7C 72 A2 3B 2A 5C 0C 00 00
2025-12-17T17:14:51.537302,CMD_SET_FREQ,AA 43 00 04 6C D0,OK,AA 43
2025-12-17T17:14:51.743326,CMD_MEASURE,AA 48,Z = 981.142334 Ω,80 03 01 05 00 00 00 00 00 04 6C D0 44 75 49 1C 3C 21 6C 5D 00 00
2025-12-17T17:14:51.947946,CMD_SET_FREQ,AA 43 00 04 93 E0,OK,AA 43
2025-12-17T17:14:52.150110,CMD_MEASURE,AA 48,Z = 1023.285034 Ω,80 03 01 05 00 00 00 00 00 04 93 E0 44 7F D2 3E 3D 0B 44 C1 00 00
2025-12-17T17:14:52.353606,CMD_SET_FREQ,AA 43 00 04 BA F0,OK,AA 43
2025-12-17T17:14:52.555453,CMD_MEASURE,AA 48,Z = 967.198914 Ω,80 03 01 05 00 00 00 00 00 04 BA F0 44 71 CC BB 3C D2 E9 07 00 00
2025-12-17T17:14:52.756403,CMD_SET_FREQ,AA 43 00 04 E2 00,OK,AA 43
2025-12-17T17:14:52.961864,CMD_MEASURE,AA 48,Z = 995.277954 Ω,80 03 01 05 00 00 00 00 00 04 E2 00 44 78 D1 CA BC B2 08 36 00 00
2025-12-17T17:14:53.163610,CMD_SET_FREQ,AA 43 00 05 09 10,OK,AA 43
2025-12-17T17:14:53.365232,CMD_MEASURE,AA 48,Z = 1001.376404 Ω,80 03 01 05 00 00 00 00 00 05 09 10 44 7A 58 17 3B EB 68 C5 00 00
2025-12-17T17:14:53.568160,CMD_SET_FREQ,AA 43 00 05 30 20,OK,AA 43
2025-12-17T17:14:53.770997,CMD_MEASURE,AA 48,Z = 980.473633 Ω,80 03 01 05 00 00 00 00 00 05 30 20 44 75 1E 50 BC 7C 9B DE 00 00
2025-12-17T17:14:53.973527,CMD_SET_FREQ,AA 43 00 05 57 30,OK,AA 43
2025-12-17T17:14:54.181698,CMD_MEASURE,AA 48,Z = 1013.937317 Ω,80 03 01 05 00 00 00 00 00 05 57 30 44 7D 7B FD BB A9 6C A5 00 00
2025-12-17T17:14:54.383874,CMD_SET_FREQ,AA 43 00 05 7E 40,OK,AA 43
2025-12-17T17:14:54.586471,CMD_MEASURE,AA 48,Z = 1007.856567 Ω,80 03 01 05 00 00 00 00 00 05 7E 40 44 7B F6 D2 3D 01 F3 E6 00 00
2025-12-17T17:14:54.789239,CMD_SET_FREQ,AA 43 00 05 A5 50,OK,AA 43
2025-12-17T17:14:54.996786,CMD_MEASURE,AA 48,Z = 978.746155 Ω,80 03 01 05 00 00 00 00 00 05 A5 50 44 74 AF C1 BD 0D EA 71 00 00
2025-12-17T17:14:55.199225,CMD_SET_FREQ,AA 43 00 05 CC 60,OK,AA 43
2025-12-17T17:14:55.402850,CMD_MEASURE,AA 48,Z = 989.096802 Ω,80 03 01 05 00 00 00 00 00 05 CC 60 44 77 46 32 BC AF BB 99 00 00
2025-12-17T17:14:55.611348,CMD_SET_FREQ,AA 43 00 05 F3 70,OK,AA 43
2025-12-17T17:14:55.813114,CMD_MEASURE,AA 48,Z = 984.61322 Ω,80 03 01 05 00 00 00 00 00 05 F3 70 44 76 27 3F 3D 07 95 3B 00 00
2025-12-17T17:14:56.014188,CMD_SET_FREQ,AA 43 00 06 1A 80,OK,AA 43
2025-12-17T17:14:56.217403,CMD_MEASURE,AA 48,Z = 1006.78833 Ω,80 03 01 05 00 00 00 00 00 06 1A 80 44 7B B2 74 3C 9B 8C A0 00 00
2025-12-17T17:14:56.419416,CMD_SET_FREQ,AA 43 00 06 41 90,OK,AA 43
2025-12-17T17:14:56.621903,CMD_MEASURE,AA 48,Z = 963.482239 Ω,80 03 01 05 00 00 00 00 00 06 41 90 44 70 DE DD BC AA DA 3D 00 00
2025-12-17T17:14:56.826804,CMD_SET_FREQ,AA 43 00 06 68 A0,OK,AA 43
2025-12-17T17:14:57.028540,CMD_MEASURE,AA 48,Z = 1005.637878 Ω,80 03 01 05 00 00 00 00 00 06 68 A0 44 7B 68 D3 BC AB 0F 45 00 00
2025-12-17T17:14:57.232674,CMD_SET_FREQ,AA 43 00 06 8F B0,OK,AA 43
2025-12-17T17:14:57.435187,CMD_MEASURE,AA 48,Z = 957.682983 Ω,80 03 01 05 00 00 00 00 00 06 8F B0 44 6F 6B B6 BC F3 7C 07 00 00
2025-12-17T17:14:57.647636,CMD_SET_FREQ,AA 43 00 06 B6 C0,OK,AA 43
2025-12-17T17:14:57.850630,CMD_MEASURE,AA 48,Z = 1006.352417 Ω,80 03 01 05 00 00 00 00 00 06 B6 C0 44 7B 96 8E 3C F2 81 88 00 00
2025-12-17T17:14:58.052137,CMD_SET_FREQ,AA 43 00 06 DD D0,OK,AA 43
2025-12-17T17:14:58.255135,CMD_MEASURE,AA 48,Z = 1036.699097 Ω,80 03 01 05 00 00 00 00 00 06 DD D0 44 81 96 5F BC F6 70 FD 00 00
2025-12-17T17:14:58.459897,CMD_SET_FREQ,AA 43 00 07 04 E0,OK,AA 43
2025-12-17T17:14:58.661731,CMD_MEASURE,AA 48,Z = 1037.482056 Ω,80 03 01 05 00 00 00 00 00 07 04 E0 44 81 AF 6D 3C 11 BA EC 00 00
2025-12-17T17:14:58.869145,CMD_SET_FREQ,AA 43 00 07 2B F0,OK,AA 43
2025-12-17T17:14:59.072533,CMD_MEASURE,AA 48,Z = 957.460876 Ω,80 03 01 05 00 00 00 00 00 07 2B F0 44 6F 5D 7F 3C 7D 2C 23 00 00
2025-12-17T17:14:59.276558,CMD_SET_FREQ,AA 43 00 07 53 00,OK,AA 43
2025-12-17T17:14:59.479734,CMD_MEASURE,AA 48,Z = 964.69043 Ω,80 03 01 05 00 00 00 00 00 07 53 00 44 71 2C 30 3B EC 83 F8 00 00
2025-12-17T17:14:59.682568,CMD_SET_FREQ,AA 43 00 07 7A 10,OK,AA 43
2025-12-17T17:14:59.884974,CMD_MEASURE,AA 48,Z = 1037.530518 Ω,80 03 01 05 00 00 00 00 00 07 7A 10 44 81 B0 FA BC 2D 50 C5 00 00
2025-12-17T17:15:00.087735,CMD_SET_FREQ,AA 43 00 07 A1 20,OK,AA 43
2025-12-17T17:15:00.291971,CMD_MEASURE,AA 48,Z = 955.25354 Ω,80 03 01 05 00 00 00 00 00 07 A1 20 44 6E D0 3A BD 0C B1 14 00 00
2025-12-17T17:15:00.499811,CMD_SET_FREQ,AA 43 00 07 C8 30,OK,AA 43
2025-12-17T17:15:00.701375,CMD_MEASURE,AA 48,Z = 1029.164062 Ω,80 03 01 05 00 00 00 00 00 07 C8 30 44 80 A5 40 BD 94 77 F0 00 00
2025-12-17T17:15:00.904133,CMD_SET_FREQ,AA 43 00 07 EF 40,OK,AA 43
2025-12-17T17:15:01.106286,CMD_MEASURE,AA 48,Z = 973.154236 Ω,80 03 01 05 00 00 00 00 00 07 EF 40 44 73 49 DF BD 1D 6B 64 00 00
2025-12-17T17:15:01.316212,CMD_SET_FREQ,AA 43 00 08 16 50,OK,AA 43
2025-12-17T17:15:01.519025,CMD_MEASURE,AA 48,Z = 1031.074463 Ω,80 03 01 05 00 00 00 00 00 08 16 50 44 80 E2 62 BD 32 DE FD 00 00
2025-12-17T17:15:01.721375,CMD_SET_FREQ,AA 43 00 08 3D 60,OK,AA 43
2025-12-17T17:15:01.922531,CMD_MEASURE,AA 48,Z = 1000.59613 Ω,80 03 01 05 00 00 00 00 00 08 3D 60 44 7A 26 27 BC F6 06 90 00 00
2025-12-17T17:15:02.129206,CMD_SET_FREQ,AA 43 00 08 64 70,OK,AA 43
2025-12-17T17:15:02.330966,CMD_MEASURE,AA 48,Z = 959.727417 Ω,80 03 01 05 00 00 00 00 00 08 64 70 44 6F EE 8E BD 2A 68 A0 00 00
2025-12-17T17:15:02.533549,CMD_SET_FREQ,AA 43 00 08 8B 80,OK,AA 43
2025-12-17T17:15:02.749061,CMD_MEASURE,AA 48,Z = 1034.523315 Ω,80 03 01 05 00 00 00 00 00 08 8B 80 44 81 50 BF BD 18 E6 50 00 00
2025-12-17T17:15:02.951846,CMD_SET_FREQ,AA 43 00 08 B2 90,OK,AA 43
2025-12-17T17:15:03.154062,CMD_MEASURE,AA 48,Z = 1021.691284 Ω,80 03 01 05 00 00 00 00 00 08 B2 90 44 7F 6C 3E BD 5B A8 A4 00 00
2025-12-17T17:15:03.362328,CMD_SET_FREQ,AA 43 00 08 D9 A0,OK,AA 43
2025-12-17T17:15:03.565683,CMD_MEASURE,AA 48,Z = 1011.310547 Ω,80 03 01 05 00 00 00 00 00 08 D9 A0 44 7C D3 E0 BD 6B 91 A6 00 00
2025-12-17T17:15:03.766735,CMD_SET_FREQ,AA 43 00 09 00 B0,OK,AA 43
2025-12-17T17:15:03.970161,CMD_MEASURE,AA 48,Z = 962.161255 Ω,80 03 01 05 00 00 00 00 00 09 00 B0 44 70 8A 52 BC EE 62 F2 00 00
2025-12-17T17:15:04.172197,CMD_SET_FREQ,AA 43 00 09 27 C0,OK,AA 43
2025-12-17T17:15:04.379137,CMD_MEASURE,AA 48,Z = 969.786316 Ω,80 03 01 05 00 00 00 00 00 09 27 C0 44 72 72 53 BD 9D F3 9E 00 00
2025-12-17T17:15:04.581252,CMD_SET_FREQ,AA 43 00 09 4E D0,OK,AA 43
2025-12-17T17:15:04.785285,CMD_MEASURE,AA 48,Z = 973.850159 Ω,80 03 01 05 00 00 00 00 00 09 4E D0 44 73 76 69 BC C2 E6 B8 00 00
2025-12-17T17:15:04.987035,CMD_SET_FREQ,AA 43 00 09 75 E0,OK,AA 43
2025-12-17T17:15:05.192367,CMD_MEASURE,AA 48,Z = 985.06842 Ω,80 03 01 05 00 00 00 00 00 09 75 E0 44 76 44 61 BC FE 56 0E 00 00 
!!!!!!!!!!!!!!!!!!!!!1

2025-12-17T17:17:04.979536,CMD_GET_NAME,AA 40,@E728,AA 40 45 37 32 38
2025-12-17T17:17:11.929790,CMD_SET_FREQ,AA 43 00 00 06 A4,ERROR,
2025-12-17T17:17:14.044749,CMD_SET_BIAS,AA 46 00 00,ERROR,
2025-12-17T17:17:18.028834,CMD_SET_FREQ,AA 43 00 01 86 A0,ERROR,
2025-12-17T17:17:20.235951,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 01 86 A0 49 35 8D A8 BD 8A 24 6A
2025-12-17T17:17:22.446067,CMD_SET_FREQ,AA 43 00 01 AD B0,ERROR,
2025-12-17T17:17:24.653247,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 01 AD B0 49 35 94 9F BD B7 15 50
2025-12-17T17:17:26.858936,CMD_SET_FREQ,AA 43 00 01 D4 C0,ERROR,
2025-12-17T17:17:29.064422,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 01 D4 C0 49 35 7D 02 BD C6 EC BD
2025-12-17T17:17:31.268962,CMD_SET_FREQ,AA 43 00 01 FB D0,ERROR,
2025-12-17T17:17:33.471482,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 01 FB D0 49 35 52 19 BD D7 65 2A
2025-12-17T17:17:35.682189,CMD_SET_FREQ,AA 43 00 02 22 E0,ERROR,
2025-12-17T17:17:37.897531,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 22 E0 49 35 21 2D BD E7 D2 22
2025-12-17T17:17:40.114351,CMD_SET_FREQ,AA 43 00 02 49 F0,ERROR,
2025-12-17T17:17:42.320713,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 49 F0 49 34 F5 2E BD F8 82 C9
2025-12-17T17:17:44.528697,CMD_SET_FREQ,AA 43 00 02 71 00,ERROR,
2025-12-17T17:17:46.736554,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 71 00 49 34 BE 83 BE 04 34 49
2025-12-17T17:17:48.938618,CMD_SET_FREQ,AA 43 00 02 98 10,ERROR,
2025-12-17T17:17:51.149673,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 98 10 49 34 8A 03 BE 0C 96 63
2025-12-17T17:17:53.363444,CMD_SET_FREQ,AA 43 00 02 BF 20,ERROR,
2025-12-17T17:17:55.587721,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 BF 20 49 34 4B BA BE 14 F0 DD
2025-12-17T17:17:57.799365,CMD_SET_FREQ,AA 43 00 02 E6 30,ERROR,
2025-12-17T17:18:00.016700,CMD_MEASURE,AA 48,None,AA 48 99 02 01 02 00 00 00 02 E6 30 49 34 0F 3B BE 1D 04 1B
2025-12-17T17:19:53.340302,CMD_GET_NAME,AA 40,@E728,AA 40 45 37 32 38
2025-12-17T17:20:38.588258,CMD_SET_FREQ,AA 43 00 00 03 E8,ERROR,
2025-12-17T17:20:40.704245,CMD_SET_BIAS,AA 46 00 00,ERROR,
2025-12-17T17:20:55.119242,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 8C BA 3F D7 F9
2025-12-17T17:20:57.326591,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 85 BA 3C 0A 35
2025-12-17T17:20:59.535288,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 A1 BA 37 8A A5
2025-12-17T17:21:01.752404,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A CE BA 32 B1 54
2025-12-17T17:21:03.966350,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5C 0A BA 36 59 41
2025-12-17T17:21:06.179955,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5C 42 BA 3E 52 89
2025-12-17T17:21:08.397519,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A F5 BA 41 A7 EE
2025-12-17T17:21:10.606356,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 E2 BA 3F 32 59
2025-12-17T17:21:12.818121,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 3B BA 37 6E A2
2025-12-17T17:21:15.030828,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 29 BA 31 B9 51
2025-12-17T17:21:17.242266,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5B 1E BA 34 26 17
2025-12-17T17:21:19.451807,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5C 01 BA 3A 52 B0
2025-12-17T17:21:21.666631,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5B 78 BA 40 34 D3
2025-12-17T17:21:23.881407,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 D5 BA 3F EF C7
2025-12-17T17:21:26.097661,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 39 BA 38 E5 C3
2025-12-17T17:21:28.307461,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 2F BA 33 B4 60
2025-12-17T17:21:30.518596,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 74 BA 31 81 5B
2025-12-17T17:21:32.731009,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5B 37 BA 36 47 9C
2025-12-17T17:21:34.937595,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A EC BA 3E 30 DC
2025-12-17T17:21:37.143205,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 99 BA 40 37 19
2025-12-17T17:21:39.348220,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 58 E8 BA 3B 58 D9
2025-12-17T17:21:41.554038,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 04 BA 34 CC 54
2025-12-17T17:21:43.772238,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 CC BA 31 BD B4
2025-12-17T17:21:45.976042,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A F3 BA 33 71 0F
2025-12-17T17:21:48.179604,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A E1 BA 3D AF 48
2025-12-17T17:21:50.386871,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 2D BA 3F 77 26
2025-12-17T17:21:52.597222,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 58 FB BA 3C 93 FF
2025-12-17T17:21:54.803518,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 44 BA 38 9E 94
2025-12-17T17:21:57.008958,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 36 BA 31 BC EE
2025-12-17T17:21:59.218742,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5B 1E BA 32 E4 8B
2025-12-17T17:22:01.436381,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5B 6D BA 3B 2E 9D
2025-12-17T17:22:03.643865,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 13 BA 40 EF 18
2025-12-17T17:22:05.850685,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 58 92 BA 3F 53 DE
2025-12-17T17:22:08.054668,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 57 DF BA 38 C0 E3
2025-12-17T17:22:10.260331,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 58 72 BA 32 CC AE
2025-12-17T17:22:12.465732,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 92 BA 32 C6 0C
2025-12-17T17:22:14.676890,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 25 BA 39 71 02
2025-12-17T17:22:16.882220,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 DA BA 3D D4 01
2025-12-17T17:22:19.091085,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 58 E6 BA 41 BC FE
2025-12-17T17:22:21.297002,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 58 65 BA 3A 62 72
2025-12-17T17:22:23.516618,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 58 1F BA 33 85 EE
2025-12-17T17:22:25.720754,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 59 AD BA 31 AE 19
2025-12-17T17:22:27.924624,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 51 BA 33 39 13
2025-12-17T17:22:30.130886,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 80 BA 3C 27 51
2025-12-17T17:22:32.340972,CMD_MEASURE,AA 48,None,AA 48 99 02 01 01 00 00 00 00 03 E8 49 36 5A 1A BA 3E AA 63
